id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
514480,CH-0030,heliport,"AMEOS Hospital Einsiedeln Heliport",47.13094,8.740359,2930,EU,Switzerland,CH,Schwyz,CH-SZ,SZ,Einsiedeln,0,,,,,,"Hubschrauberlandeplatz AMEOS Spital Einsiedeln",0,2023-11-07T11:51:21+00:00
43110,LSHG,heliport,"Gampel Heliport",46.310055,7.724794,,EU,Switzerland,CH,Valais,CH-VS,VS,Gampel,0,LSEG,,,,,,0,2022-10-13T15:48:05+00:00
517211,LSHU,heliport,"Geneva University Hospital Helipad",46.193079,6.149247,1390,EU,Switzerland,CH,Geneva,CH-GE,GE,Geneva,0,LSHU,,,,,,0,2023-12-16T13:31:02+00:00
514006,CH-0017,heliport,"Grabs Hospital Heliport",47.17422,9.4488,1548,EU,Switzerland,CH,"St. Gallen",CH-SG,SG,Grabs,0,,,,,,,0,2023-10-29T06:56:42+00:00
324130,LSXG,heliport,"Gsteigwiler Heliport",46.647697,7.878219,,EU,Switzerland,CH,Bern,CH-BE,BE,Gsteigwiler,0,LSXG,,,,,,0,2023-11-06T12:29:18+00:00
514706,CH-0036,closed,"Hagenbuch Airport",47.51852,8.87139,1860,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Hagenbuch,0,,,,,,"Flugplatz Hagenbuch",0,2023-11-10T20:14:37+00:00
514414,CH-0025,heliport,"Herisau Hospital Heliport",47.38765,9.28314,2562,EU,Switzerland,CH,"Appenzell Ausserrhoden",CH-AR,AR,Herisau,0,,,,,,,0,2023-11-06T11:43:06+00:00
43114,LSXH,heliport,"Holziken Heliport",47.314143,8.026126,,EU,Switzerland,CH,Aargau,CH-AG,AG,Holziken,0,LSXH,,,https://roseheli.ch/index.php/homepage/about-us,,,0,2023-11-05T08:50:55+00:00
514019,CH-0020,heliport,"Fideris Emergency Heliport",46.92391,9.72708,2418,EU,Switzerland,CH,Grisons,CH-GR,GR,Jenaz,0,,,,,,,0,2023-10-29T11:46:26+00:00
43092,LSXY,heliport,"Leysin  Heliport",46.341801,7.0204,,EU,Switzerland,CH,Vaud,CH-VD,VD,Leysin,0,LSEY,,,,,,0,2022-10-13T15:47:28+00:00
43116,LSXR,heliport,"Lodrino Heliport",46.2901725769043,8.992927551269531,,EU,Switzerland,CH,Ticino,CH-TI,TI,Lodrino,0,LSXR,,,,,,0,2009-01-19T12:20:21+00:00
514750,CH-0037,heliport,"Münsterlingen Hospital Heliport",47.63033,9.23818,1355,EU,Switzerland,CH,Thurgau,CH-TG,TG,Münsterlingen,0,,,,,,,0,2023-11-11T19:40:25+00:00
324872,CH-0007,closed,"Ulrichen Air Base",46.50193,8.299415,4409,EU,Switzerland,CH,Valais,CH-VS,VS,Obergoms,0,,,,,,LSMC,0,2022-11-22T19:07:02+00:00
43113,LSXP,heliport,"Pfaffnau Heliport",47.235216,7.910015,,EU,Switzerland,CH,Lucerne,CH-LU,LU,Pfaffnau,0,LSXP,,,https://www.swisshelicopter.ch/de/ueber-uns/standorte/pfaffnau,,,0,2023-11-05T08:53:47+00:00
514777,CH-0038,heliport,"Jura Hospital Porrentruy Heliport",47.4191,7.05694,1663,EU,Switzerland,CH,Jura,CH-JU,JU,Porrentruy,0,,,,,,,0,2023-11-12T06:17:05+00:00
43117,CH-0001,heliport,"San Vittore Heliport",46.232196,9.089497,,EU,Switzerland,CH,Grisons,CH-GR,GR,"San Vittore",0,LSXV,,,,https://de.wikipedia.org/wiki/Milit%C3%A4rflugplatz_San_Vittore,,0,2024-05-21T11:59:22+00:00
324871,CH-0006,heliport,"Helipad Station Corvatsch",46.417572,9.820629,10837,EU,Switzerland,CH,Grisons,CH-GR,GR,Sanedan,0,,,,,,,0,2023-11-11T19:21:04+00:00
43118,LSXO,heliport,"Sankt Gallen-Winkeln Heliport",47.405528,9.290367,,EU,Switzerland,CH,"St. Gallen",CH-SG,SG,"Sankt Gallen",0,LSXO,,,http://www.tsis.ch/heli/heliport/stgallen-winkeln.php,,,0,2023-11-06T11:53:09+00:00
514418,CH-0027,heliport,"Sankt Gallen Cantonal Hospital Heliport",47.43077,9.38689,,EU,Switzerland,CH,"St. Gallen",CH-SG,SG,"Sankt Gallen",0,,,,,,,0,2023-11-06T11:51:53+00:00
324870,CH-0005,heliport,"Helipad Klinik Gut (St. Moritz)",46.4965,9.83847,,EU,Switzerland,CH,Grisons,CH-GR,GR,"Sankt Moritz",0,,,,,,,0,2023-11-11T19:18:11+00:00
324892,LSXM,heliport,"Sankt Moritz-Bad Heliport",46.47895,9.82422,,EU,Switzerland,CH,Grisons,CH-GR,GR,"Sankt Moritz",0,LSXM,,,,,,0,2023-11-11T19:19:32+00:00
514016,LSXZ,heliport,"Schattenhalb-Meiringen Heliport",46.71096,8.20148,2625,EU,Switzerland,CH,Bern,CH-BE,BE,Schattenhalb,0,LSXZ,,LSXZ,https://www.swisshelicopter.ch/en/about-us/helicopter-bases/schattenhalb-meiringen,,"Geissholz Heliport",0,2023-10-29T11:27:46+00:00
43197,LSXS,heliport,"Schindellegi Heliport",47.170312,8.714098,2600,EU,Switzerland,CH,Schwyz,CH-SZ,SZ,Schindellegi,0,LSXS,,,,,,0,2023-11-06T21:18:44+00:00
513827,CH-0012,heliport,"Limmattal Hospital Heliport",47.393567,8.431755,,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Schlieren,0,,,,,,,0,2023-10-26T15:33:54+00:00
514580,CH-0034,heliport,"Grosser Mythen Helipad",47.02987,8.68912,6178,EU,Switzerland,CH,Schwyz,CH-SZ,SZ,Schwyz,0,,,,,,,0,2023-11-08T17:14:28+00:00
353992,LSXT,heliport,"Trogen Heliport",47.408977,9.473074,2647,EU,Switzerland,CH,"Appenzell Ausserrhoden",CH-AR,AR,Trogen,0,LSXT,,,,,Bleichi,0,2023-11-06T11:44:55+00:00
514441,CH-0029,heliport,"Uster Hospital Heliport",47.3535,8.72424,,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Uster,0,,,,,,,0,2023-11-06T21:21:32+00:00
514566,CH-0033,heliport,"Winterthur Cantonal Hospital Heliport",47.50733,8.72845,,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Winterthur,0,,,,,,"Hubschrauberlandeplatz Kantonsspital Winterthur",0,2023-11-08T11:48:35+00:00
43115,LSXW,closed,"Würenlingen Heliport",47.5162,8.2379,1152,EU,Switzerland,CH,Aargau,CH-AG,AG,Würenlingen,0,,,,,,LSXW,0,2023-11-02T14:00:50+00:00
43111,LSEZ,heliport,"Zermatt  Heliport",46.029319763183594,7.753366470336914,,EU,Switzerland,CH,Valais,CH-VS,VS,Zermatt,0,LSEZ,,,,,,0,2009-01-19T12:08:13+00:00
513826,CH-0011,heliport,"Zürich Triemli City Hospital Heliport",47.366516,8.497469,,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Zürich,0,,,,,,,0,2023-11-02T12:34:56+00:00
513828,CH-0013,heliport,"Zürich Waid City Hospital Heliport",47.398104,8.521438,1594,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Zürich,0,,,,,,,0,2023-10-26T15:35:56+00:00
513829,CH-0014,heliport,"Zurich Children's Hospital Heliport",47.372022,8.55716,,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Zürich,0,,,,,,,0,2023-10-26T15:37:14+00:00
513830,CH-0015,heliport,"University Hospital of Zurich Heliport",47.376917,8.551108,,EU,Switzerland,CH,Zürich,CH-ZH,ZH,Zürich,0,,,,,,,0,2023-10-26T15:39:07+00:00
